Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
04/03/2021,Sat,LW4,14:00,16:00,3,Rough Riders,Ken's Market,
04/03/2021,Sat,LW5,14:00,16:00,4,Goodman Racing,Reuben's Brewers,
04/06/2021,Tue,LW6,18:30,20:30,21,Reuben's Brewers,Rough Riders,
04/08/2021,Thu,Maple Leaf 2,20:00,18:00,9,Rough Riders,Hornets,
04/08/2021,Thu,LW6,18:30,20:30,12,Ken's Market,Reuben's Brewers,
04/20/2021,Tue,LW5,18:30,20:30,29,Ken's Market,Rough Riders,
04/20/2021,Tue,Shorewood H.S. ,19:00,21:00,33,Reuben's Brewers,Shore2,
04/22/2021,Thu,LW5,18:30,20:30,37,Hornets,Reuben's Brewers,
04/22/2021,Thu,Soundview Field 3,18:00,20:00,38,Ken's Market,NW1,
04/24/2021,Sat,LW4,14:00,16:00,43,Ballard Plumbing,Rough Riders,
04/24/2021,Sat,LW5,14:00,16:00,44,Reuben's Brewers,Ken's Market,
04/27/2021,Tue,Bayview Playground (Raye Field),17:30,19:30,52,Ken's Market,Colliers,
04/27/2021,Tue,LW6,18:30,20:30,53,Rough Riders,Reuben's Brewers,
05/01/2021,Sat,Gilman 1,09:00,11:00,64,Rough Riders,Limback Lumber,
05/01/2021,Sat,Gilman 1,11:30,13:30,65,Ken's Market,Ballard Plumbing,
05/01/2021,Sat,QA3,13:00,15:30,69,Reuben's Brewers,Fischer Plumbing,
05/04/2021,Tue,LW3,18:30,20:30,74,Limback Lumber,Reuben's Brewers,
05/04/2021,Tue,LW6,18:30,20:30,75,Rough Riders,Ken's Market,
05/06/2021,Thu,LW5,18:30,20:30,84,Ken's Market,Reuben's Brewers,
05/08/2021,Sat,Bayview Playground (Raye Field),13:00,15:00,86,Ken's Market,Goodman Racing,
05/08/2021,Sat,LW5,14:00,16:00,88,Shore3,Rough Riders,
05/08/2021,Sat,Soundview Field 4,12:30,15:00,90,Reuben's Brewers,NW2,
05/11/2021,Tue,LW6,18:30,20:30,98,NW2,Rough Riders,
05/13/2021,Thu,LW4,18:30,20:30,103,Reuben's Brewers,Rough Riders,
05/13/2021,Thu,LW5,18:30,20:30,104,Hornets,Ken's Market,
05/15/2021,Sat,LW5,14:00,16:00,113,Colliers,Rough Riders,
05/15/2021,Sat,QA3,13:00,15:30,114,Ken's Market,Best Plumbing,
05/18/2021,Tue,LW3,18:30,20:30,122,Ken's Market,Rough Riders,
05/18/2021,Tue,LW6,18:30,20:30,123,Best Plumbing,Reuben's Brewers,
05/20/2021,Thu,LW5,18:30,20:30,126,Reuben's Brewers,Ken's Market,
05/20/2021,Thu,QA3,17:30,20:00,128,Rough Riders,Fischer Plumbing,
05/22/2021,Sat,Gilman 1,13:00,15:00,133,Reuben's Brewers,Ballard Nordics,
05/22/2021,Sat,Gilman 2,15:30,17:30,136,Reuben's Brewers,Ballard Plumbing,
05/22/2021,Sat,LW4,13:30,15:30,137,Albert Lee,Ken's Market,
05/22/2021,Sat,LW4,16:00,18:00,138,Shore1,Ken's Market,
05/22/2021,Sat,LW5,13:30,15:30,139,Albert Lee,Rough Riders,
05/22/2021,Sat,LW5,16:00,18:00,140,Shore1,Rough Riders,
05/27/2021,Thu,LW3,18:30,20:30,153,Ken's Market,Ken's Market,
05/27/2021,Thu,LW5,18:15,20:00,154,Rough Riders,Reuben's Brewers,
