Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team
04/24/2021,Sat,Lower Ross,11:00,12:30,3,NCLL Bluebirds,NCLL Koalas
04/24/2021,Sat,Ballard Community Center #1,15:45,17:30,8,NCLL Purple,BLL Phoenix
05/01/2021,Sat,Lower Ross,11:00,12:30,12,BLL Phoenix,NCLL Bluebirds
05/01/2021,Sat,LW5,11:30,13:00,13,NCLL Koalas,NCLL Purple
05/08/2021,Sat,Lower Ross,11:00,12:30,22,BLL Phoenix,NCLL Koalas
05/08/2021,Sat,LW4,11:30,13:00,23,NCLL Bluebirds,NCLL Purple
05/15/2021,Sat,Lower Ross,11:00,12:30,32,MLL W.G. Clark,NCLL Bluebirds
05/15/2021,Sat,LW4,11:30,13:00,33,MLL Montlake Partners,NCLL Purple
05/15/2021,Sat,West Queen Anne Playfield #2,12:15,14:00,34,NCLL Koalas,QALL Golden Phoenix
05/22/2021,Sat,Lower Ross,11:00,12:30,40,NCLL Koalas,NCLL Bluebirds
05/22/2021,Sat,Ballard Community Center #2,15:15,17:00,44,NCLL Purple,BLL Phoenix
05/25/2021,Tue,Lower Ross,17:30,19:15,49,NCLL Purple,NCLL Koalas
05/25/2021,Tue,Loyal Heights Playfield #2,17:45,19:30,47,NCLL Bluebirds,BLL Phoenix
06/01/2021,Tue,Lower Ross,17:30,19:15,56,NCLL Purple,NCLL Bluebirds
06/01/2021,Tue,Ballard Community Center #1,17:45,19:30,57,NCLL Koalas,BLL Phoenix
06/05/2021,Sat,Lower Ross,11:00,12:30,69,NCLL Bluebirds,NCLL Koalas
06/05/2021,Sat,Gilman Playfield #2,16:00,17:45,71,NCLL Purple,BLL Phoenix
06/08/2021,Tue,Lower Ross,17:30,19:15,74,BLL Phoenix,NCLL Bluebirds
06/08/2021,Tue,LW4,18:15,20:00,81,NCLL Koalas,NCLL Purple
06/12/2021,Sat,Lower Ross,11:00,12:30,87,BLL Phoenix,NCLL Koalas
06/12/2021,Sat,LW5,11:30,13:00,88,NCLL Bluebirds,NCLL Purple
