Date,Day,Game,Away Team,Home Team,Start Time,End Time,Location
4/3/2021,Saturday,3,NWLL Spicy Hens,NCLL/QALL Reignmakers,11:30 AM,1:30 PM,Lower Woodland Playfield #6
4/7/2021,Wednesday,5,NCLL/QALL Reignmakers,NESLL/RUGLL Aces,5:30 PM,8:00 PM,Dahl Playfield #3
4/12/2021,Monday,13,NCLL/QALL Reignmakers,SLL Strikers,6:00 PM,8:30 PM,Lower Woodland #3
4/14/2021,Wednesday,11,MLL Criminals,NCLL/QALL Reignmakers,6:00 PM,8:30 PM,West Queen Anne Playfield #2
4/21/2021,Wednesday,18,BLL Blue Thunder,NCLL/QALL Reignmakers,6:00 PM,8:30 PM,West Queen Anne Playfield #2
4/26/2021,Monday,21,NCLL/QALL Reignmakers,SCLL Blue Sox,5:30 PM,8:00 PM,Judkins Park #2
4/28/2021,Wednesday,23,NCLL/QALL Reignmakers,NESLL/RUGLL LLC,5:30 PM,8:00 PM,Dahl Playfield #3
5/1/2021,Saturday,28,NCLL/QALL Reignmakers,MLL Thrillers,9:00 AM,11:30 AM,Magnolia Playfield #2
5/8/2021,Saturday,37,NCLL/QALL Reignmakers,NWLL Spicy Hens,4:30 PM,7:00 PM,Ingraham High School - Softball Field
5/10/2021,Monday,41,NESLL/RUGLL Aces,NCLL/QALL Reignmakers,6:15 PM,8:00 PM,Lower Woodland Playfield #6
5/12/2021,Wednesday,42,NCLL/QALL Reignmakers,MLL Criminals,5:30 PM,8:00 PM,Magnolia Playfield #2
5/15/2021,Saturday,47,SLL Strikers,NCLL/QALL Reignmakers,11:30 AM,1:30 PM,Lower Woodland Playfield #6
5/17/2021,Monday,49,NCLL/QALL Reignmakers,BLL Blue Thunder,5:45 PM,8:00 PM,Gilman Playfield #2
5/22/2021,Saturday,57,NESLL/RUGLL LLC,NCLL/QALL Reignmakers,11:30 AM,1:30 PM,Lower Woodland Playfield #6
5/24/2021,Monday,63,MLL Thrillers,NCLL/QALL Reignmakers,6:30 PM,8:30 PM,Lower Woodland Playfield #6
5/26/2021,Wednesday,67,NESLL/RUGLL Aces,NCLL/QALL Reignmakers,6:30 PM,8:30 PM,Lower Woodland Playfield #3
